"จังหวัด","ผลผลิต(ตัน)","สัดส่วน","เนื้อที่เก็บเกี่ยว(ไร่)","ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)"
"สุราษฎร์ธานี","538,762","11%","2,068,294","260.49"
"สงขลา","460,647","9%","1,779,046","258.93"
"นครศรีธรรมราช","445,990","9%","1,760,215","253.37"
"ตรัง","308,379","6%","1,183,978","260.46"
"ยะลา","263,562","5%","1,083,822","243.18"
"พัทลุง","209,317","4%","831,349","251.78"
"บึงกาฬ","199,646","4%","819,189","243.71"
"นราธิวาส","197,639","4%","833,838","237.02"
"เลย","162,310","3%","688,171","235.86"
"กระบี่","153,980","3%","587,424","262.13"
"ชุมพร","131,067","3%","513,935","255.03"
"พังงา","124,510","3%","482,373","258.12"
"อุดรธานี","119,522","2%","535,871","223.04"
"ระยอง","114,583","2%","549,143","208.66"
"จันทบุรี","112,906","2%","530,580","212.80"
"สตูล","102,370","2%","404,567","253.04"
"อุบลราชธานี","101,240","2%","496,157","204.05"
"ปัตตานี","86,308","2%","354,584","243.41"
"สกลนคร","75,248","2%","330,563","227.64"
"ระนอง","74,602","2%","298,788","249.68"
"นครพนม","72,653","1%","330,138","220.07"
"ตราด","67,130","1%","310,349","216.30"
"หนองคาย","65,363","1%","282,653","231.25"
"ศรีสะเกษ","64,917","1%","306,245","211.98"
"เชียงราย","58,974","1%","268,707","219.47"
"บุรีรัมย์","58,404","1%","273,122","213.84"
"ประจวบคีรีขันธ์","49,620","1%","260,602","190.41"
"มุกดาหาร","45,677","1%","210,530","216.96"
"ชลบุรี","44,942","1%","198,391","226.53"
"พิษณุโลก","40,730","1%","251,936","161.67"
"กาฬสินธุ์","35,276","1%","169,771","207.79"
"ฉะเชิงเทรา","34,098","1%","178,212","191.33"
"สุรินทร์","31,938","1%","147,558","216.44"
"พะเยา","30,703","1%","149,248","205.72"
"น่าน","27,224","1%","182,493","149.18"
"กาญจนบุรี","23,512","0%","124,216","189.28"
"หนองบัวลำภู","22,139","0%","103,033","214.87"
"ชัยภูมิ","20,985","0%","102,827","204.08"
"ยโสธร","18,863","0%","91,307","206.59"
"ร้อยเอ็ด","16,851","0%","89,331","188.64"
"ขอนแก่น","13,991","0%","75,901","184.33"
"อำนาจเจริญ","12,816","0%","60,700","211.14"
"นครราชสีมา","11,649","0%","58,976","197.52"
"ภูเก็ต","10,522","0%","53,983","194.91"
"สระแก้ว","9,232","0%","49,117","187.96"
"เพชรบูรณ์","7,417","0%","50,766","146.10"
"ปราจีนบุรี","5,869","0%","28,656","204.81"
"ราชบุรี","5,737","0%","34,756","165.07"
"สุโขทัย","5,728","0%","35,358","162.00"
"กำแพงเพชร","4,040","0%","26,027","155.22"
"อุทัยธานี","3,973","0%","22,747","174.66"
"ลำปาง","3,484","0%","29,655","117.48"
"เชียงใหม่","3,371","0%","21,207","158.96"
"แพร่","2,206","0%","14,688","150.19"
"เพชรบุรี","1,828","0%","10,715","170.60"
"อุตรดิตถ์","1,630","0%","12,105","134.66"
"มหาสารคาม","1,565","0%","9,921","157.75"
"ตาก","1,483","0%","9,613","154.27"
"นครสวรรค์","1,130","0%","6,870","164.48"
"ลำพูน","906","0%","5,102","177.58"
"สุพรรณบุรี","529","0%","4,065","130.14"
"สระบุรี","264","0%","2,026","130.31"
"พิจิตร","172","0%","1,593","107.97"
"แม่ฮ่องสอน","132","0%","1,161","113.70"
"ชัยนาท","127","0%","1,214","104.61"
"นครนายก","118","0%","660","178.79"
"ลพบุรี","79","0%","799","98.87"
"ปทุมธานี","64","0%","361","177.29"
"นครปฐม","1","0%","10","100.00"
