"จังหวัด","ผลผลิต(ตัน)","สัดส่วน","เนื้อที่เก็บเกี่ยว(ไร่)","ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)"
"สุราษฎร์ธานี","584,127","12%","2,163,432","270.00"
"สงขลา","477,333","10%","1,704,760","280.00"
"นครศรีธรรมราช","423,986","8%","1,570,319","270.00"
"ตรัง","340,626","7%","1,280,550","266.00"
"ยะลา","285,554","6%","1,124,228","254.00"
"นราธิวาส","225,179","4%","883,053","255.00"
"พัทลุง","218,801","4%","816,420","268.00"
"บึงกาฬ","190,540","4%","774,554","246.00"
"เลย","165,544","3%","678,460","244.00"
"พังงา","158,135","3%","566,792","279.00"
"กระบี่","131,075","3%","473,195","277.00"
"ชุมพร","120,070","2%","467,200","257.00"
"อุดรธานี","117,147","2%","522,979","224.00"
"ระยอง","107,246","2%","525,714","204.00"
"จันทบุรี","104,892","2%","537,907","195.00"
"อุบลราชธานี","98,205","2%","446,388","220.00"
"สตูล","90,720","2%","357,164","254.00"
"ปัตตานี","88,062","2%","338,700","260.00"
"สกลนคร","71,535","1%","323,689","221.00"
"ศรีสะเกษ","69,071","1%","299,009","231.00"
"ระนอง","67,446","1%","265,536","254.00"
"นครพนม","66,275","1%","305,413","217.00"
"เชียงราย","66,113","1%","291,245","227.00"
"หนองคาย","61,531","1%","261,833","235.00"
"ตราด","60,488","1%","295,064","205.00"
"บุรีรัมย์","48,366","1%","213,067","227.00"
"ประจวบคีรีขันธ์","47,725","1%","209,319","228.00"
"พิษณุโลก","45,891","1%","268,366","171.00"
"มุกดาหาร","44,475","1%","202,157","220.00"
"ชลบุรี","43,649","1%","204,924","213.00"
"น่าน","36,406","1%","226,125","161.00"
"กาฬสินธุ์","36,088","1%","180,438","200.00"
"สุรินทร์","34,629","1%","155,285","223.00"
"พะเยา","34,534","1%","159,143","217.00"
"ฉะเชิงเทรา","33,162","1%","180,230","184.00"
"กาญจนบุรี","27,608","1%","133,372","207.00"
"ชัยภูมิ","22,741","0%","107,271","212.00"
"หนองบัวลำภู","22,505","0%","99,578","226.00"
"ยโสธร","19,921","0%","94,414","211.00"
"อำนาจเจริญ","15,707","0%","73,741","213.00"
"ร้อยเอ็ด","15,416","0%","86,609","178.00"
"ขอนแก่น","14,281","0%","75,961","188.00"
"ภูเก็ต","12,556","0%","60,363","208.01"
"นครราชสีมา","9,990","0%","48,732","205.00"
"สระแก้ว","9,291","0%","55,634","167.00"
"เพชรบูรณ์","8,007","0%","59,753","134.00"
"อุทัยธานี","5,206","0%","28,294","184.00"
"ปราจีนบุรี","4,728","0%","26,414","179.00"
"สุโขทัย","4,411","0%","26,895","164.01"
"ราชบุรี","4,350","0%","26,046","167.01"
"เชียงใหม่","4,028","0%","22,253","181.01"
"กำแพงเพชร","3,691","0%","22,104","166.98"
"ลำปาง","3,485","0%","31,968","109.02"
"แพร่","3,329","0%","22,196","149.98"
"อุตรดิตถ์","2,207","0%","16,230","135.98"
"เพชรบุรี","2,032","0%","14,725","138.00"
"ตาก","1,855","0%","11,245","164.96"
"มหาสารคาม","1,588","0%","10,053","157.96"
"นครสวรรค์","1,006","0%","6,534","153.96"
"ลำพูน","875","0%","5,540","157.94"
"สุพรรณบุรี","739","0%","5,911","125.02"
"สระบุรี","322","0%","2,516","127.98"
"พิจิตร","295","0%","2,867","102.90"
"แม่ฮ่องสอน","246","0%","2,157","114.05"
"นครนายก","166","0%","1,421","116.82"
"ลพบุรี","138","0%","1,975","69.87"
"ปทุมธานี","58","0%","364","159.34"
